Angle,n.,A projecting or sharp corner; an angular fragment.
Anglicized,imp. & p. p.,of Anglicize
Angry,superl.,"Showing anger; proceeding from anger; acting as if moved by anger; wearing the marks of anger; as, angry words or tones; an angry sky; angry waves."
Angwantibo,n.,A small lemuroid mammal (Arctocebus Calabarensis) of Africa. It has only a rudimentary tail.
Animadversal,n.,The faculty of perceiving; a percipient.
Animalizing,p. pr. & vb. n.,of Animalize
Animosity,v. t.,Mere spiritedness or courage.
Ankylosis,n.,Same as Anchylosis.
Annex,v. t.,To join or attach; usually to subjoin; to affix; to append; -- followed by to.
Annodated,a.,Curved somewhat in the form of the letter S.
Annoyful,a.,Annoying.
Annulation,n.,A circular or ringlike formation; a ring or belt.
Annunciatory,a.,"Pertaining to, or containing, announcement; making known."
Anomaly,n.,The angle measuring apparent irregularities in the motion of a planet.
Anorthic,a.,"Having unequal oblique axes; as, anorthic crystals."
Answer,n.,"To be or act an equivalent to, or as adequate or sufficient for; to serve for; to repay."
Antacid,a.,Counteractive of acidity.
Antarchist,n.,One who opposes all government.
Antecedently,adv.,"Previously; before in time; at a time preceding; as, antecedently to conversion."
Antemosaic,a.,Being before the time of Moses.
Anterior,a.,"Before, or toward the front, in place; as, the anterior part of the mouth; -- opposed to posterior."
Antherozooid,n.,One of the mobile male reproductive bodies in the antheridia of cryptogams.
Anthraciferous,a.,"Yielding anthracite; as, anthraciferous strata."
Anthropology,n.,"The science of man; -- sometimes used in a limited sense to mean the study of man as an object of natural history, or as an animal."
Anthropotomical,a.,"Pertaining to anthropotomy, or the dissection of human bodies."
Antickt,,of Antic
Anticipative,a.,"Anticipating, or containing anticipation."
Antiepileptic,a. & n.,Same as Antepileptic.
Antilogy,n.,A contradiction between any words or passages in an author.
Antinephritic,a.,"Counteracting, or deemed of use in, diseases of the kidneys."
Antiperistaltic,a.,"Opposed to, or checking motion; acting upward; -- applied to an inverted action of the intestinal tube."
Antipodal,a.,Diametrically opposite.
Antiquateness,n.,Antiquatedness.
Antiseptical,a.,"Counteracting or preventing putrefaction, or a putrescent tendency in the system; antiputrefactive."
Antithet,n.,An antithetic or contrasted statement.
Antoecians,n. pl,"Those who live under the same meridian, but on opposite parallels of latitude, north and south of the equator."
Anxious,a.,"Full of anxiety or disquietude; greatly concerned or solicitous, esp. respecting something future or unknown; being in painful suspense; -- applied to persons; as, anxious for the issue of a battle."
Apagogical,a.,"Proving indirectly, by showing the absurdity, or impossibility of the contrary."
Aping,p. pr. & vb. n.,of Ape
Aphaniptera,n. pl.,"A group of wingless insects, of which the flea in the type. See Flea."
Aphonous,a.,Without voice; voiceless; nonvocal.
Apices,n. pl.,See Apex.
Apocalyptical,a.,"Of or pertaining to a revelation, or, specifically, to the Revelation of St. John; containing, or of the nature of, a prophetic revelation."
Apode,n.,One of certain animals that have no feet or footlike organs; esp. one of certain fabulous birds which were said to have no feet.
Apolaustic,a.,Devoted to enjoyment.
Aponeurotic,a.,Of or pertaining to an aponeurosis.
Apositic,a.,"Destroying the appetite, or suspending hunger."
Apostolicalness,n.,Apostolicity.
Apothesis,n.,"A place on the south side of the chancel in the primitive churches, furnished with shelves, for books, vestments, etc."
Apparelled,,of Apparel
Appealing,p. pr. & vb. n.,of Appeal
Appearance,n.,"The act of appearing in a particular place, or in society, a company, or any proceedings; a coming before the public in a particular character; as, a person makes his appearance as an historian, an artist, or an orator."
Appellee,n.,The defendant in an appeal; -- opposed to appellant.
Appension,n.,The act of appending.
Appian,a.,Of or pertaining to Appius.
Application,n.,"The act of directing or referring something to a particular case, to discover or illustrate agreement or disagreement, fitness, or correspondence; as, I make the remark, and leave you to make the application; the application of a theory."
Appoggiatura,n.,"A passing tone preceding an essential tone, and borrowing the time it occupies from that; a short auxiliary or grace note one degree above or below the principal note unless it be of the same harmony; -- generally indicated by a note of smaller size, as in the illustration above. It forms no essential part of the harmony."
Appose,v. t.,To place in juxtaposition or proximity.
Appreciation,n.,"Accurate perception; true estimation; as, an appreciation of the difficulties before us; an appreciation of colors."
Apprentice,n.,One not well versed in a subject; a tyro.
Approach,v. i.,See Approaching.
Appropriate,v. t.,To make suitable; to suit.
Approximate,a.,Approaching; proximate; nearly resembling.
Aprocta,n. pl.,A group of Turbellaria in which there is no anal aperture.
Apt,a.,Having an habitual tendency; habitually liable or likely; -- used of things.
Apyrous,a.,Incombustible; capable of sustaining a strong heat without alteration of form or properties.
Aquila,n.,A northern constellation southerly from Lyra and Cygnus and preceding the Dolphin; the Eagle.
Aracari,n.,"A South American bird, of the genus Pleroglossius, allied to the toucans. There are several species."
Aramaic,a.,"Pertaining to Aram, or to the territory, inhabitants, language, or literature of Syria and Mesopotamia; Aramaean; -- specifically applied to the northern branch of the Semitic family of languages, including Syriac and Chaldee."
Arbitrarily,adv.,In an arbitrary manner; by will only; despotically; absolutely.
Arboret,n.,A small tree or shrub.
Arcadic,a.,"Of or pertaining to Arcadia; pastoral; ideally rural; as, Arcadian simplicity or scenery."
Archaeozoic,a.,Like or belonging to the earliest forms of animal life.
Archegonial,a.,Relating to the archegonium.
Archiepiscopal,a.,"Of or pertaining to an archbishop; as, Canterbury is an archiepiscopal see."
Architectress,n.,A female architect.
Archway,n.,A way or passage under an arch.
Ardently,adv.,In an ardent manner; eagerly; with warmth; affectionately; passionately.
Arenas,pl. ,of Arena
Areopagus,n.,"The highest judicial court at Athens. Its sessions were held on Mars' Hill. Hence, any high court or tribunal"
Argentine,n.,A citizen of the Argentine Republic.
Argue,v. i.,"To contend in argument; to dispute; to reason; -- followed by with; as, you may argue with your friend without convincing him."
Argute,a.,Sagacious; acute; subtle; shrewd.
Aright,adv.,"Rightly; correctly; in a right way or form; without mistake or crime; as, to worship God aright."
Aristocrat,n.,"One who favors an aristocracy as a form of government, or believes the aristocracy should govern."
Arm,n.,"A limb, or locomotive or prehensile organ, of an invertebrate animal."
Armed,a.,"Having horns, beak, talons, etc; -- said of beasts and birds of prey."
Armless,a.,Without any arm or branch.
Arms,n.,"Anything which a man takes in his hand in anger, to strike or assault another with; an aggressive weapon."
Aromatizer,n.,"One who, or that which, aromatizes or renders aromatic."
Arraign,v. t.,To call or set as a prisoner at the bar of a court to answer to the matter charged in an indictment or complaint.
Array,n.,An imposing series of things.
Arrest,v. t.,"The taking or apprehending of a person by authority of law; legal restraint; custody. Also, a decree, mandate, or warrant."
Arriving,p. pr. & vb. n.,of Arrive
Arrowroot,n.,"A nutritive starch obtained from the rootstocks of Maranta arundinacea, and used as food, esp. for children an invalids; also, a similar starch obtained from other plants, as various species of Maranta and Curcuma."
Arsis,n.,"That part of a foot where the ictus is put, or which is distinguished from the rest (known as the thesis) of the foot by a greater stress of voice."
Artery,n.,The trachea or windpipe.
Artiad,a.,Even; not odd; -- said of elementary substances and of radicals the valence of which is divisible by two without a remainder.
Articulate,v. i.,To treat or make terms.
Artificial,a.,"Made or contrived by art; produced or modified by human skill and labor, in opposition to natural; as, artificial heat or light, gems, salts, minerals, fountains, flowers."
Artistry,n.,Artistic pursuits; artistic ability.
As,adv. & conj.,"While; during or at the same time that; when; as, he trembled as he spoke."
Ascendable,a.,Capable of being ascended.
Ascessancy,a.,Alt. of Ascessant
Ascribe,v. t.,"To attribute, impute, or refer, as to a cause; as, his death was ascribed to a poison; to ascribe an effect to the right cause; to ascribe such a book to such an author."
Ash-furnace,n.,Alt. of Ash-oven
Asiphonate,a.,Destitute of a siphon or breathing tube; -- said of many bivalve shells.
Asmear,a.,Smeared over.
Asper,n.,"A Turkish money of account (formerly a coin), of little value; the 120th part of a piaster."
Aspersive,a.,Tending to asperse; defamatory; slanderous.
Aspirate,v. t.,"To pronounce with a breathing, an aspirate, or an h sound; as, we aspirate the words horse and house; to aspirate a vowel or a liquid consonant."
Assailed,imp. & p. p.,of Assail
